"player","position","date_of_birth_age","caps","franchise_province","team","club_province","url","birth_info"
"Dane Coles","Hooker","(1986-12-10)10 December 1986 (aged 36)",87,"Hurricanes / Wellington","New Zealand",NA,"https://en.wikipedia.org/wiki/Dane_Coles","Paraparaumu, New Zealand"
"Samisoni Taukei'aho","Hooker","(1997-08-08)8 August 1997 (aged 26)",25,"Chiefs / Waikato","New Zealand",NA,"https://en.wikipedia.org/wiki/Samisoni_Taukei%27aho","Tongatapu, Tonga"
"Codie Taylor","Hooker","(1991-03-31)31 March 1991 (aged 32)",79,"Crusaders / Canterbury","New Zealand",NA,"https://en.wikipedia.org/wiki/Codie_Taylor","Levin, New Zealand"
"Ethan de Groot","Prop","(1998-07-22)22 July 1998 (aged 25)",17,"Highlanders / Southland","New Zealand",NA,"https://en.wikipedia.org/wiki/Ethan_de_Groot","Gold Coast, Queensland, Australia"
"Nepo Laulala","Prop","(1991-11-06)6 November 1991 (aged 31)",49,"Blues / Counties Manukau","New Zealand",NA,"https://en.wikipedia.org/wiki/Nepo_Laulala","Moto'otua, Samoa"
"Tyrel Lomax","Prop","(1996-03-16)16 March 1996 (aged 27)",27,"Hurricanes / Tasman","New Zealand",NA,"https://en.wikipedia.org/wiki/Tyrel_Lomax","Canberra, Australia"
"Fletcher Newell","Prop","(2000-03-01)1 March 2000 (aged 23)",8,"Crusaders / Canterbury","New Zealand",NA,"https://en.wikipedia.org/wiki/Fletcher_Newell","Rangiora, New Zealand"
"Ofa Tu'ungafasi","Prop","(1992-04-19)19 April 1992 (aged 31)",53,"Blues / Northland","New Zealand",NA,"https://en.wikipedia.org/wiki/Ofa_Tu%27ungafasi","Nukuʻalofa, Tonga"
"Tamaiti Williams","Prop","(2000-08-10)10 August 2000 (aged 23)",3,"Crusaders / Canterbury","New Zealand",NA,"https://en.wikipedia.org/wiki/Tamaiti_Williams","Whangārei, New Zealand"
"Scott Barrett","Lock","(1993-11-20)20 November 1993 (aged 29)",62,"Crusaders / Taranaki","New Zealand",NA,"https://en.wikipedia.org/wiki/Scott_Barrett_(rugby_union)","New Plymouth, New Zealand"
"Brodie Retallick","Lock","(1991-05-31)31 May 1991 (aged 32)",103,"Chiefs / Hawke's Bay","New Zealand",NA,"https://en.wikipedia.org/wiki/Brodie_Retallick","Rangiora, New Zealand"
"Tupou Vaa'i","Lock","(2000-01-27)27 January 2000 (aged 23)",22,"Chiefs / Taranaki","New Zealand",NA,"https://en.wikipedia.org/wiki/Tupou_Vaa%27i","Auckland, New Zealand"
"Sam Whitelock","Lock","(1988-10-12)12 October 1988 (aged 34)",146,"Crusaders / Canterbury","New Zealand",NA,"https://en.wikipedia.org/wiki/Sam_Whitelock","Palmerston North, New Zealand"
"Ethan Blackadder","Loose forward","(1995-03-22)22 March 1995 (aged 28)",9,"Crusaders / Tasman","New Zealand",NA,"https://en.wikipedia.org/wiki/Ethan_Blackadder","Rangiora, New Zealand"
"Sam Cane (c)","Loose forward","(1992-01-13)13 January 1992 (aged 31)",90,"Chiefs / Bay of Plenty","New Zealand",NA,"https://en.wikipedia.org/wiki/Sam_Cane","Rotorua, New Zealand"
"Shannon Frizell","Loose forward","(1994-02-11)11 February 1994 (aged 29)",28,"Highlanders / Tasman","New Zealand",NA,"https://en.wikipedia.org/wiki/Shannon_Frizell","Folaha, Tonga"
"Luke Jacobson","Loose forward","(1997-04-20)20 April 1997 (aged 26)",15,"Chiefs / Waikato","New Zealand",NA,"https://en.wikipedia.org/wiki/Luke_Jacobson","Cambridge, New Zealand"
"Dalton Papalii","Loose forward","(1997-10-11)11 October 1997 (aged 25)",26,"Blues / Counties Manukau","New Zealand",NA,"https://en.wikipedia.org/wiki/Dalton_Papalii","Auckland, New Zealand"
"Ardie Savea","Loose forward","(1993-10-14)14 October 1993 (aged 29)",75,"Hurricanes / Wellington","New Zealand",NA,"https://en.wikipedia.org/wiki/Ardie_Savea","Wellington, New Zealand"
"Finlay Christie","Scrum-half","(1995-09-19)19 September 1995 (aged 27)",17,"Blues / Tasman","New Zealand",NA,"https://en.wikipedia.org/wiki/Finlay_Christie","Peebles, Scotland"
"Cam Roigard","Scrum-half","(2000-11-16)16 November 2000 (aged 22)",2,"Hurricanes / Counties Manukau","New Zealand",NA,"https://en.wikipedia.org/wiki/Cam_Roigard","Onewhero, New Zealand"
"Aaron Smith","Scrum-half","(1988-11-21)21 November 1988 (aged 34)",119,"Highlanders / Manawatu","New Zealand",NA,"https://en.wikipedia.org/wiki/Aaron_Smith_(rugby_union)","Palmerston North, New Zealand"
"Beauden Barrett","Fly-half","(1991-05-27)27 May 1991 (aged 32)",116,"Blues / Taranaki","New Zealand",NA,"https://en.wikipedia.org/wiki/Beauden_Barrett","New Plymouth, New Zealand"
"Damian McKenzie","Fly-half","(1995-04-20)20 April 1995 (aged 28)",42,"Chiefs / Waikato","New Zealand",NA,"https://en.wikipedia.org/wiki/Damian_McKenzie","Invercargill, New Zealand"
"Richie Mo'unga","Fly-half","(1994-05-25)25 May 1994 (aged 29)",49,"Crusaders / Canterbury","New Zealand",NA,"https://en.wikipedia.org/wiki/Richie_Mo%27unga","Christchurch, New Zealand"
"Jordie Barrett","Centre","(1997-02-17)17 February 1997 (aged 26)",52,"Hurricanes / Taranaki","New Zealand",NA,"https://en.wikipedia.org/wiki/Jordie_Barrett","New Plymouth, New Zealand"
"David Havili","Centre","(1994-12-23)23 December 1994 (aged 28)",25,"Crusaders / Tasman","New Zealand",NA,"https://en.wikipedia.org/wiki/David_Havili","Nelson, New Zealand"
"Rieko Ioane","Centre","(1997-03-18)18 March 1997 (aged 26)",63,"Blues / Auckland","New Zealand",NA,"https://en.wikipedia.org/wiki/Rieko_Ioane","Auckland, New Zealand"
"Anton Lienert-Brown","Centre","(1995-04-15)15 April 1995 (aged 28)",63,"Chiefs / Waikato","New Zealand",NA,"https://en.wikipedia.org/wiki/Anton_Lienert-Brown","Christchurch, New Zealand"
"Caleb Clarke","Wing","(1999-03-29)29 March 1999 (aged 24)",18,"Blues / Auckland","New Zealand",NA,"https://en.wikipedia.org/wiki/Caleb_Clarke_(rugby_union)","Auckland, New Zealand"
"Leicester Fainga'anuku","Wing","(1999-10-11)11 October 1999 (aged 23)",3,"Crusaders / Tasman","New Zealand",NA,"https://en.wikipedia.org/wiki/Leicester_Fainga%27anuku","Nukuʻalofa, Tonga"
"Emoni Narawa","Wing","(1999-07-13)13 July 1999 (aged 24)",1,"Chiefs / Bay of Plenty","New Zealand",NA,"https://en.wikipedia.org/wiki/Emoni_Narawa","Suva, Fiji"
"Mark Telea","Wing","(1996-12-06)6 December 1996 (aged 26)",5,"Blues / North Harbour","New Zealand",NA,"https://en.wikipedia.org/wiki/Mark_Telea","Auckland, New Zealand"
"Will Jordan","Fullback","(1998-02-24)24 February 1998 (aged 25)",25,"Crusaders / Tasman","New Zealand",NA,"https://en.wikipedia.org/wiki/Will_Jordan_(rugby_union)","Christchurch, New Zealand"
"Pierre Bourgarit","Hooker","(1997-09-12)12 September 1997 (aged 25)",10,NA,"France","La Rochelle","https://en.wikipedia.org/wiki/Pierre_Bourgarit","Gimont, France"
"Julien Marchand","Hooker","(1995-05-10)10 May 1995 (aged 28)",31,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Julien_Marchand","Saint-Gaudens, France"
"Peato Mauvaka","Hooker","(1997-01-10)10 January 1997 (aged 26)",24,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Peato_Mauvaka","Nouméa, New Caledonia"
"Dorian Aldegheri","Prop","(1993-08-04)4 August 1993 (aged 30)",11,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Dorian_Aldegheri","Toulouse, France"
"Uini Atonio","Prop","(1990-03-26)26 March 1990 (aged 33)",53,NA,"France","La Rochelle","https://en.wikipedia.org/wiki/Uini_Atonio","Timaru, New Zealand"
"Cyril Baille","Prop","(1993-09-15)15 September 1993 (aged 29)",44,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Cyril_Baille","Pau, France"
"Sipili Falatea","Prop","(1997-06-06)6 June 1997 (aged 26)",13,NA,"France","Bordeaux-Bègles","https://en.wikipedia.org/wiki/Sipili_Falatea","Leava, Wallis and Futuna"
"Jean-Baptiste Gros","Prop","(1999-05-29)29 May 1999 (aged 24)",25,NA,"France","Toulon","https://en.wikipedia.org/wiki/Jean-Baptiste_Gros","Arles, France"
"Reda Wardi","Prop","(1995-08-02)2 August 1995 (aged 28)",9,NA,"France","La Rochelle","https://en.wikipedia.org/wiki/Reda_Wardi","Montpellier, France"
"Bastien Chalureau","Lock","(1992-02-13) 13 February 1992 (age 31)",6,NA,"France","Montpellier","https://en.wikipedia.org/wiki/Bastien_Chalureau","Mondavezan, France"
"Thibaud Flament","Lock","(1997-04-29)29 April 1997 (aged 26)",19,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Thibaud_Flament","Paris, France"
"Romain Taofifenua","Lock","(1990-09-14)14 September 1990 (aged 32)",44,NA,"France","Lyon","https://en.wikipedia.org/wiki/Romain_Taofifenua","Mont-de-Marsan, France"
"Paul Willemse","Lock","(1992-11-13)13 November 1992 (aged 30)",31,NA,"France","Montpellier","https://en.wikipedia.org/wiki/Paul_Willemse","Pretoria, South Africa"
"Cameron Woki","Lock","(1998-11-07)7 November 1998 (aged 24)",22,NA,"France","Racing 92","https://en.wikipedia.org/wiki/Cameron_Woki","Saint-Denis, France"
"Grégory Alldritt","Back row","(1997-03-23)23 March 1997 (aged 26)",42,NA,"France","La Rochelle","https://en.wikipedia.org/wiki/Gr%C3%A9gory_Alldritt","Toulouse, France"
"Paul Boudehent","Back row","(1999-11-21)21 November 1999 (aged 23)",3,NA,"France","La Rochelle","https://en.wikipedia.org/wiki/Paul_Boudehent","Angers, France"
"François Cros","Back row","(1994-03-25)25 March 1994 (aged 29)",22,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Fran%C3%A7ois_Cros","Toulouse, France"
"Anthony Jelonch","Back row","(1996-07-28)28 July 1996 (aged 27)",25,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Anthony_Jelonch","Vic-Fezensac, France"
"Sekou Macalou","Back row","(1995-04-20)20 April 1995 (aged 28)",18,NA,"France","Stade Français","https://en.wikipedia.org/wiki/Sekou_Macalou","Sarcelles, France"
"Charles Ollivon","Back row","(1993-05-11)11 May 1993 (aged 30)",35,NA,"France","Toulon","https://en.wikipedia.org/wiki/Charles_Ollivon","Saint-Pée-sur-Nivelle, France"
"Baptiste Couilloud","Scrum-half","(1997-08-22)22 August 1997 (aged 26)",13,NA,"France","Lyon","https://en.wikipedia.org/wiki/Baptiste_Couilloud","Lyon, France"
"Antoine Dupont (c)","Scrum-half","(1996-11-15)15 November 1996 (aged 26)",49,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Antoine_Dupont","Lannemezan, France"
"Maxime Lucu","Scrum-half","(1993-01-12)12 January 1993 (aged 30)",15,NA,"France","Bordeaux-Bègles","https://en.wikipedia.org/wiki/Maxime_Lucu","Saint-Jean-de-Luz, France"
"Antoine Hastoy","Fly-half","(1997-06-04)4 June 1997 (aged 26)",4,NA,"France","La Rochelle","https://en.wikipedia.org/wiki/Antoine_Hastoy","Bayonne, France"
"Matthieu Jalibert","Fly-half","(1998-11-06)6 November 1998 (aged 24)",26,NA,"France","Bordeaux-Bègles","https://en.wikipedia.org/wiki/Matthieu_Jalibert","Saint-Germain-en-Laye, France"
"Jonathan Danty","Centre","(1992-10-07)7 October 1992 (aged 30)",23,NA,"France","La Rochelle","https://en.wikipedia.org/wiki/Jonathan_Danty","Paris, France"
"Gaël Fickou","Centre","(1994-03-26)26 March 1994 (aged 29)",81,NA,"France","Racing 92","https://en.wikipedia.org/wiki/Ga%C3%ABl_Fickou","La Seyne-sur-Mer, France"
"Yoram Moefana","Centre","(2000-07-18)18 July 2000 (aged 23)",18,NA,"France","Bordeaux-Bègles","https://en.wikipedia.org/wiki/Yoram_Moefana","Nouméa, New Caledonia, France"
"Arthur Vincent","Centre","(1999-09-30)30 September 1999 (aged 23)",16,NA,"France","Montpellier","https://en.wikipedia.org/wiki/Arthur_Vincent_(rugby_union)","Montpellier, France"
"Louis Bielle-Biarrey","Wing","(2003-06-16)16 June 2003 (aged 20)",3,NA,"France","Bordeaux-Bègles","https://en.wikipedia.org/wiki/Louis_Bielle-Biarrey","La Tronche, France"
"Damian Penaud","Wing","(1996-09-25)25 September 1996 (aged 26)",44,NA,"France","Bordeaux-Bègles","https://en.wikipedia.org/wiki/Damian_Penaud","Brive-la-Gaillarde, France"
"Gabin Villière","Wing","(1995-12-13)13 December 1995 (aged 27)",14,NA,"France","Toulon","https://en.wikipedia.org/wiki/Gabin_Villi%C3%A8re","Vire, France"
"Melvyn Jaminet","Fullback","(1999-06-30)30 June 1999 (aged 24)",15,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Melvyn_Jaminet","Hyères, France"
"Thomas Ramos","Fullback","(1995-07-23)23 July 1995 (aged 28)",27,NA,"France","Toulouse","https://en.wikipedia.org/wiki/Thomas_Ramos_(rugby_union)","Mazamet, France"
"Luca Bigi","Hooker","(1991-04-19)19 April 1991 (aged 32)",48,NA,"Italy","Zebre Parma","https://en.wikipedia.org/wiki/Luca_Bigi","Reggio Emilia, Italy"
"Hame Faiva","Hooker","(1994-05-09)9 May 1994 (aged 29)",7,NA,"Italy","Unattached","https://en.wikipedia.org/wiki/Hame_Faiva","Auckland, New Zealand"
"Giacomo Nicotera","Hooker","(1996-07-15)15 July 1996 (aged 27)",15,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Giacomo_Nicotera","Trieste, Italy"
"Pietro Ceccarelli","Prop","(1992-02-16)16 February 1992 (aged 31)",29,NA,"Italy","Perpignan","https://en.wikipedia.org/wiki/Pietro_Ceccarelli","Rome, Italy"
"Simone Ferrari","Prop","(1994-03-28)28 March 1994 (aged 29)",47,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Simone_Ferrari_(rugby_union)","Cernusco sul Naviglio, Italy"
"Danilo Fischetti","Prop","(1998-01-26)26 January 1998 (aged 25)",33,NA,"Italy","Zebre Parma","https://en.wikipedia.org/wiki/Danilo_Fischetti","Genzano di Roma, Italy"
"Ivan Nemer","Prop","(1998-04-22)22 April 1998 (aged 25)",13,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Ivan_Nemer","Mar del Plata, Argentina"
"Marco Riccioni","Prop","(1997-10-19)19 October 1997 (aged 25)",22,NA,"Italy","Saracens","https://en.wikipedia.org/wiki/Marco_Riccioni","Teramo, Italy"
"Federico Zani","Prop","(1989-04-09)9 April 1989 (aged 34)",23,NA,"Italy","Benetton","https://en.wikipedia.org/wiki/Federico_Zani","Parma"
