"birth_info","url","player","position","date_of_birth_age","caps","franchise_province","team","club_province","country","lat","long"
"Paraparaumu, New Zealand","https://en.wikipedia.org/wiki/Dane_Coles","Dane Coles","Hooker","(1986-12-10)10 December 1986 (aged 36)",87,"Hurricanes / Wellington","New Zealand",NA,"New Zealand",-40.9144636,175.0061963
"Tongatapu, Tonga","https://en.wikipedia.org/wiki/Samisoni_Taukei%27aho","Samisoni Taukei'aho","Hooker","(1997-08-08)8 August 1997 (aged 26)",25,"Chiefs / Waikato","New Zealand",NA,"Tonga",-21.1667068,-175.198199652758
"Levin, New Zealand","https://en.wikipedia.org/wiki/Codie_Taylor","Codie Taylor","Hooker","(1991-03-31)31 March 1991 (aged 32)",79,"Crusaders / Canterbury","New Zealand",NA,"New Zealand",-40.6218161,175.2865854
"Gold Coast, Queensland, Australia","https://en.wikipedia.org/wiki/Ethan_de_Groot","Ethan de Groot","Prop","(1998-07-22)22 July 1998 (aged 25)",17,"Highlanders / Southland","New Zealand",NA,"Australia",-28.0023731,153.4145987
"Moto'otua, Samoa","https://en.wikipedia.org/wiki/Nepo_Laulala","Nepo Laulala","Prop","(1991-11-06)6 November 1991 (aged 31)",49,"Blues / Counties Manukau","New Zealand",NA,"Samoa",-13.8441868,-171.7616411
"Canberra, Australia","https://en.wikipedia.org/wiki/Tyrel_Lomax","Tyrel Lomax","Prop","(1996-03-16)16 March 1996 (aged 27)",27,"Hurricanes / Tasman","New Zealand",NA,"Australia",-35.2975906,149.1012676
"Rangiora, New Zealand","https://en.wikipedia.org/wiki/Fletcher_Newell","Fletcher Newell","Prop","(2000-03-01)1 March 2000 (aged 23)",8,"Crusaders / Canterbury","New Zealand",NA,"New Zealand",-40.9061858,175.0897798
"Nukuʻalofa, Tonga","https://en.wikipedia.org/wiki/Ofa_Tu%27ungafasi","Ofa Tu'ungafasi","Prop","(1992-04-19)19 April 1992 (aged 31)",53,"Blues / Northland","New Zealand",NA,"Tonga",-21.1343401,-175.201808
"Whangārei, New Zealand","https://en.wikipedia.org/wiki/Tamaiti_Williams","Tamaiti Williams","Prop","(2000-08-10)10 August 2000 (aged 23)",3,"Crusaders / Canterbury","New Zealand",NA,"New Zealand",-35.7275268,174.3194202
"New Plymouth, New Zealand","https://en.wikipedia.org/wiki/Scott_Barrett_(rugby_union)","Scott Barrett","Lock","(1993-11-20)20 November 1993 (aged 29)",62,"Crusaders / Taranaki","New Zealand",NA,"New Zealand",-39.0579941,174.0806474
"Rangiora, New Zealand","https://en.wikipedia.org/wiki/Brodie_Retallick","Brodie Retallick","Lock","(1991-05-31)31 May 1991 (aged 32)",103,"Chiefs / Hawke's Bay","New Zealand",NA,"New Zealand",-40.9061858,175.0897798
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Tupou_Vaa%27i","Tupou Vaa'i","Lock","(2000-01-27)27 January 2000 (aged 23)",22,"Chiefs / Taranaki","New Zealand",NA,"New Zealand",-36.5412811,174.550610491441
"Palmerston North, New Zealand","https://en.wikipedia.org/wiki/Sam_Whitelock","Sam Whitelock","Lock","(1988-10-12)12 October 1988 (aged 34)",146,"Crusaders / Canterbury","New Zealand",NA,"New Zealand",-40.356317,175.6112388
"Rangiora, New Zealand","https://en.wikipedia.org/wiki/Ethan_Blackadder","Ethan Blackadder","Loose forward","(1995-03-22)22 March 1995 (aged 28)",9,"Crusaders / Tasman","New Zealand",NA,"New Zealand",-40.9061858,175.0897798
"Rotorua, New Zealand","https://en.wikipedia.org/wiki/Sam_Cane","Sam Cane (c)","Loose forward","(1992-01-13)13 January 1992 (aged 31)",90,"Chiefs / Bay of Plenty","New Zealand",NA,"New Zealand",-38.1381493,176.252922
"Folaha, Tonga","https://en.wikipedia.org/wiki/Shannon_Frizell","Shannon Frizell","Loose forward","(1994-02-11)11 February 1994 (aged 29)",28,"Highlanders / Tasman","New Zealand",NA,"Tonga",-21.168866,-175.1839704
"Cambridge, New Zealand","https://en.wikipedia.org/wiki/Luke_Jacobson","Luke Jacobson","Loose forward","(1997-04-20)20 April 1997 (aged 26)",15,"Chiefs / Waikato","New Zealand",NA,"New Zealand",-37.8917889,175.4691069
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Dalton_Papalii","Dalton Papalii","Loose forward","(1997-10-11)11 October 1997 (aged 25)",26,"Blues / Counties Manukau","New Zealand",NA,"New Zealand",-36.5412811,174.550610491441
"Wellington, New Zealand","https://en.wikipedia.org/wiki/Ardie_Savea","Ardie Savea","Loose forward","(1993-10-14)14 October 1993 (aged 29)",75,"Hurricanes / Wellington","New Zealand",NA,"New Zealand",-41.2887953,174.7772114
"Peebles, Scotland","https://en.wikipedia.org/wiki/Finlay_Christie","Finlay Christie","Scrum-half","(1995-09-19)19 September 1995 (aged 27)",17,"Blues / Tasman","New Zealand",NA,"Scotland",55.6517553,-3.1885456
"Onewhero, New Zealand","https://en.wikipedia.org/wiki/Cam_Roigard","Cam Roigard","Scrum-half","(2000-11-16)16 November 2000 (aged 22)",2,"Hurricanes / Counties Manukau","New Zealand",NA,"New Zealand",-35.226546,174.0619187
"Palmerston North, New Zealand","https://en.wikipedia.org/wiki/Aaron_Smith_(rugby_union)","Aaron Smith","Scrum-half","(1988-11-21)21 November 1988 (aged 34)",119,"Highlanders / Manawatu","New Zealand",NA,"New Zealand",-40.356317,175.6112388
"New Plymouth, New Zealand","https://en.wikipedia.org/wiki/Beauden_Barrett","Beauden Barrett","Fly-half","(1991-05-27)27 May 1991 (aged 32)",116,"Blues / Taranaki","New Zealand",NA,"New Zealand",-39.0579941,174.0806474
"Invercargill, New Zealand","https://en.wikipedia.org/wiki/Damian_McKenzie","Damian McKenzie","Fly-half","(1995-04-20)20 April 1995 (aged 28)",42,"Chiefs / Waikato","New Zealand",NA,"New Zealand",-46.4118465,168.3470632
"Christchurch, New Zealand","https://en.wikipedia.org/wiki/Richie_Mo%27unga","Richie Mo'unga","Fly-half","(1994-05-25)25 May 1994 (aged 29)",49,"Crusaders / Canterbury","New Zealand",NA,"New Zealand",-43.530955,172.6364343
"New Plymouth, New Zealand","https://en.wikipedia.org/wiki/Jordie_Barrett","Jordie Barrett","Centre","(1997-02-17)17 February 1997 (aged 26)",52,"Hurricanes / Taranaki","New Zealand",NA,"New Zealand",-39.0579941,174.0806474
"Nelson, New Zealand","https://en.wikipedia.org/wiki/David_Havili","David Havili","Centre","(1994-12-23)23 December 1994 (aged 28)",25,"Crusaders / Tasman","New Zealand",NA,"New Zealand",-41.2710849,173.2836756
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Rieko_Ioane","Rieko Ioane","Centre","(1997-03-18)18 March 1997 (aged 26)",63,"Blues / Auckland","New Zealand",NA,"New Zealand",-36.5412811,174.550610491441
"Christchurch, New Zealand","https://en.wikipedia.org/wiki/Anton_Lienert-Brown","Anton Lienert-Brown","Centre","(1995-04-15)15 April 1995 (aged 28)",63,"Chiefs / Waikato","New Zealand",NA,"New Zealand",-43.530955,172.6364343
"Auckland, New Zealand","https://en.wikipedia.org/wiki/Caleb_Clarke_(rugby_union)","Caleb Clarke","Wing","(1999-03-29)29 March 1999 (aged 24)",18,"Blues / Auckland","New Zealand",NA,"New Zealand",-36.5412811,174.550610491441
"Nukuʻalofa, Tonga","https://en.wikipedia.org/wiki/Leicester_Fainga%27anuku","Leicester Fainga'anuku","Wing","(1999-10-11)11 October 1999 (aged 23)",3,"Crusaders / Tasman","New Zealand",NA,"Tonga",-21.1343401,-175.201808
